"Name","Extension","SizeMB","Category","FullName","LastWriteTime"
"Блект Рами - Волшебный ключ к 12 домам судьбы - 2013.pdf",".pdf","31,49","04-predictive-transits-cycles","G:\Codex Goroskop\sources\books\library\04-predictive-transits-cycles\Блект Рами - Волшебный ключ к 12 домам судьбы - 2013.pdf","04.06.2026 7:22:48"
"Брэди Бернадет - Предсказательная астрология - 2023.pdf",".pdf","6,43","inbox","G:\Codex Goroskop\sources\books\inbox\Брэди Бернадет - Предсказательная астрология - 2023\Брэди Бернадет - Предсказательная астрология - 2023.pdf","04.06.2026 8:53:33"
"Волоконцев Евгений - Тайны Зодиака - 2024.pdf",".pdf","4,89","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Волоконцев Евгений - Тайны Зодиака - 2024.pdf","04.06.2026 7:19:13"
"Вэлс Мартин - Астрология. Глубинное влияние звезд, планет и созвездий - 2021.pdf",".pdf","32,34","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Вэлс Мартин - Астрология. Глубинное влияние звезд, планет и созвездий - 2021.pdf","04.06.2026 7:20:34"
"Голдшнайдер  Г., Элфферс Д. - 48 кармических путей личности. Астрология и психология. — 2009.pdf",".pdf","179,39","10-compatibility-relationships","G:\Codex Goroskop\sources\books\library\10-compatibility-relationships\Голдшнайдер  Г., Элфферс Д. - 48 кармических путей личности. Астрология и психология. — 2009.pdf","09.01.2025 18:17:59"
"Голдшнайдер Г. - Астрология успеха (2004).pdf",".pdf","23,16","10-compatibility-relationships","G:\Codex Goroskop\sources\books\library\10-compatibility-relationships\Голдшнайдер Г. - Астрология успеха (2004).pdf","05.06.2025 10:28:41"
"Голдшнайдер Г. - Гороскоп любви, семейных и деловых отношений (2007).pdf",".pdf","21,06","10-compatibility-relationships","G:\Codex Goroskop\sources\books\library\10-compatibility-relationships\Голдшнайдер Г. - Гороскоп любви, семейных и деловых отношений (2007).pdf","05.06.2025 10:25:34"
"Голдшнайдер Г. - Полный гороскоп совместимости  (Тайные знания) - 2017.pdf",".pdf","4,55","10-compatibility-relationships","G:\Codex Goroskop\sources\books\library\10-compatibility-relationships\Голдшнайдер Г. - Полный гороскоп совместимости  (Тайные знания) - 2017.pdf","05.06.2025 10:16:57"
"Голдшнайдер Г. - Тайный язык дня рождения. Астролого-психологический портрет каждого дня года.pdf",".pdf","11,11","07-kabbalah-esoteric","G:\Codex Goroskop\sources\books\library\07-kabbalah-esoteric\Голдшнайдер Г. - Тайный язык дня рождения. Астролого-психологический портрет каждого дня года.pdf","05.06.2026 10:21:09"
"Грин Лиз - Исследования Юнга в области астрологии - 2022.pdf",".pdf","24,64","02-psychological-archetypal","G:\Codex Goroskop\sources\books\library\02-psychological-archetypal\Грин Лиз - Исследования Юнга в области астрологии - 2022.pdf","04.06.2026 7:30:18"
"Грин Лиз, Саспортас Говард - Развитие Личности. Том 1 - 2025.pdf",".pdf","17,3","02-psychological-archetypal","G:\Codex Goroskop\sources\books\library\02-psychological-archetypal\Грин Лиз, Саспортас Говард - Развитие Личности. Том 1 - 2025.pdf","04.06.2026 7:17:00"
"Давыдов М. -  Астрология Цзэ Жи Сюэ - 2011.pdf",".pdf","26,13","09-chinese-eastern-astrology","G:\Codex Goroskop\sources\books\library\09-chinese-eastern-astrology\Давыдов М. -  Астрология Цзэ Жи Сюэ - 2011.pdf","09.01.2025 18:18:59"
